ID	DATE_REQUESTED	DATE_STATUS	PUBLICATION_ID	ORG_ID	CONTACT_ID	REVIEWER_ID	REPLIED_TO	PURPOSE	REQUEST_STATUS	POLICY_ACCEPTED	POLICY_ACCEPTED_DATE
53	3/5/2009	3/9/2009	9	8832	122756823	93876823	TRUE	Grieg Shipping Group joins the UNGC	3	TRUE	3/20/2009
54	3/5/2009	3/5/2009	4	7145	6276	87806823	TRUE	Sustainable Development 2008: An Overview	3	TRUE	3/5/2009
55	3/5/2009	3/9/2009	4	8741	120446823	93876823	TRUE	Myllykoski Sustainability Report 2008	3	TRUE	3/20/2009
56	3/5/2009	3/9/2009	8	9061	128636823	93876823	TRUE	Web Page - www.schieldenver.com/en.html	3	TRUE	3/9/2009
57	3/6/2009	3/9/2009	15	4	74936823	93876823	TRUE	Letterhead	3	FALSE	
58	3/6/2009	3/9/2009	8	4	74936823	93876823	TRUE	Corporate website	3	TRUE	3/10/2009
59	3/6/2009	3/9/2009	31	4686	129396823	93876823	TRUE	We Support Global Compact	3	FALSE	
60	3/6/2009	3/9/2009	4	556	39876823	93876823	TRUE	Reporte de Sustentabilidad del Grupo Arcor 2008	3	TRUE	6/5/2009
61	3/6/2009	3/9/2009	4	8463	113556823	93876823	TRUE	Vaisala Corporate Responsibility Report 2008	3	TRUE	3/9/2009
62	3/6/2009	3/9/2009	5	7848	97896823	93876823	TRUE	Company Profile	3	TRUE	3/11/2009
63	3/6/2009	3/9/2009	8	7746	95696823	93876823	TRUE	www.produceworld.co.uk/csr	3	TRUE	3/9/2009
64	3/6/2009	3/9/2009	4	2352	2026	93876823	TRUE	Sustainability report 2008	3	FALSE	
65	3/7/2009	3/9/2009	4	1540	104526823	93876823	TRUE	China Datang Corporation 2008 Social Responsibilit	3	TRUE	3/9/2009
66	3/7/2009	3/9/2009	8	8948	125576823	93876823	TRUE	Petrofac website - responsibility section	3	TRUE	3/9/2009
67	3/8/2009	3/9/2009	8	1150	1053	93876823	TRUE	Our network	3	TRUE	3/10/2009
68	3/9/2009	3/9/2009	5	1705	71616823	93876823	TRUE	Corporate Social Responsbility Report for 2008	3	FALSE	
69	3/9/2009	3/9/2009	8	9105	129836823	93876823	TRUE	"www.ito.org.tr, main page"	3	TRUE	3/10/2009
70	3/9/2009	3/9/2009	8	7567	25056823	93876823	TRUE	Web Page Xeracon	3	FALSE	
71	3/9/2009	3/9/2009	4	6136	5410	93876823	TRUE	Business & Sustainable Develpment Report	3	TRUE	3/9/2009
72	3/10/2009	3/10/2009	26	3668	39086823	93876823	TRUE	Environment Brochure	3	FALSE	
73	3/10/2009	3/10/2009	20	466	424	93876823	TRUE	DIA GLOBAL DO VOLUNTARIADO JOVEM 2009	3	TRUE	3/10/2009
74	3/10/2009	3/10/2009	8	7900	98916823	93876823	TRUE	Homepage of Corporate Website	3	TRUE	3/11/2009
75	3/11/2009	3/11/2009	9	7690	94616823	93876823	TRUE	company website	3	TRUE	3/12/2009
76	3/11/2009	3/11/2009	2	6453	5655	93876823	TRUE	2008 Annual sustainable Development report	3	TRUE	3/11/2009
77	3/11/2009	3/11/2009	3	6453	5655	93876823	TRUE	CoP 2008 Sopra Group	3	FALSE	
78	3/11/2009	3/11/2009	9	6453	5655	93876823	TRUE	Guide to ecological gesture	3	FALSE	
79	3/11/2009	3/11/2009	5	6453	5655	93876823	TRUE	Sustainable development Chart for purchasing	3	FALSE	
80	3/11/2009	3/11/2009	4	5869	101756823	93876823	TRUE	Annual Report	3	TRUE	3/11/2009
81	3/11/2009	3/11/2009	8	8412	112326823	93876823	TRUE	Website	3	TRUE	3/12/2009
82	3/12/2009	3/12/2009	2	9058	128586823	93876823	TRUE	Annual Report 2008	3	TRUE	3/13/2009
83	3/12/2009	3/12/2009	8	9157	131146823	93876823	TRUE	www.amdk.org	3	TRUE	3/12/2009
84	3/12/2009	3/13/2009	4	3041	21436823	93876823	TRUE	Annual Report	3	TRUE	7/9/2009
85	3/12/2009	3/12/2009	4	2522	115636823	93876823	TRUE	Eni Sustainability	3	FALSE	
86	3/12/2009	3/12/2009	4	2522	130716823	93876823	TRUE	Eni Sustainability Report 2008	2	FALSE	
87	3/12/2009	3/12/2009	9	1925	1652	93876823	TRUE	Copagaz website	3	FALSE	
88	3/12/2009	3/12/2009	4	1925	1652	93876823	TRUE	Copagaz 2008 Sustainability Report	3	FALSE	
89	3/12/2009	3/12/2009	4	5206	4604	93876823	TRUE	Nordea CSR report 2008	3	TRUE	3/12/2009
90	3/13/2009	3/13/2009	8	6443	73446823	93876823	TRUE	2008 CSR Communication report (English and Japanes	3	TRUE	3/15/2009
91	3/13/2009	3/13/2009	4	2494	2143	93876823	TRUE	2008 Annual Report	3	TRUE	3/16/2009
92	3/13/2009	3/13/2009	8	2494	2143	93876823	TRUE	www.enagas.es	3	TRUE	3/16/2009
93	3/13/2009	3/13/2009	27	8963	125906823	93876823	TRUE	WE SUPPORT	3	TRUE	3/13/2009
94	3/15/2009	3/17/2009	4	6443	73446823	93876823	TRUE	2008 CSR Communication report	3	FALSE	
95	3/16/2009	3/19/2009	4	4605	85436823	93876823	TRUE	Rapport de développement durable Lippi 2009	3	FALSE	
96	3/16/2009	3/17/2009	8	5187	125236823	93876823	TRUE	Corporate Social Responsibility Report	3	TRUE	3/17/2009
97	3/16/2009	3/17/2009	31	1173	40286823	93876823	TRUE	Use of UN Global Compact logo on www.myc4.com	3	FALSE	
98	3/16/2009	3/17/2009	4	7917	99396823	93876823	TRUE	Memoria y Balance Social 2008	3	TRUE	3/17/2009
99	3/17/2009	3/17/2009	8	7567	25056823	93876823	TRUE	Global Compact Logo	3	FALSE	
100	3/17/2009	3/18/2009	4	4453	129016823	93876823	TRUE	KPMG: Creating Value. 2007 - 2008 Corporate Social	3	TRUE	3/18/2009
101	3/17/2009	3/18/2009	22	4453	129016823	93876823	TRUE	backcoverInvitation_KPMGMexico	3	TRUE	3/18/2009
102	3/17/2009	3/18/2009	26	4453	129016823	93876823	TRUE	backcoverBrochures_KPMGMexico	3	TRUE	3/18/2009
103	3/17/2009	3/18/2009	15	4453	129016823	93876823	TRUE	InstitutionalPaper_KPMGMexico	3	TRUE	3/18/2009
104	3/17/2009	3/18/2009	9	4453	129016823	93876823	TRUE	ComunicadoMail	3	TRUE	3/18/2009
105	3/17/2009	3/18/2009	5	8857	123456823	93876823	TRUE	2009 Yearboook	3	FALSE	
106	3/17/2009	3/18/2009	7	4453	129016823	93876823	TRUE	ContraportadaCD	3	TRUE	3/18/2009
107	3/17/2009	3/18/2009	30	4453	129016823	93876823	TRUE	ComunicadoPrensa	3	TRUE	3/18/2009
108	3/17/2009	3/18/2009	5	4453	129016823	93876823	TRUE	Contraportadapta	3	TRUE	3/18/2009
109	3/17/2009	3/18/2009	10	4453	129016823	93876823	TRUE	Ultimapag	3	TRUE	3/18/2009
110	3/17/2009	3/18/2009	3	2850	131156823	93876823	TRUE	FEMSA Social Responsibility Report 2008	3	FALSE	
111	3/18/2009	8/5/2009	26	7896	98806823	93876823	TRUE	CSR-DC Catalogue	1	FALSE	
112	3/18/2009	3/18/2009	8	592	535	93876823	TRUE	web site SOCIAL AREA	3	FALSE	
113	3/18/2009	3/18/2009	3	592	535	93876823	TRUE	BILANCIO SOCIALE 2008	3	FALSE	
114	3/18/2009	3/18/2009	8	9063	128676823	93876823	TRUE	www.userdis.com	3	TRUE	6/10/2009
115	3/18/2009	3/18/2009	8	3487	69566823	93876823	TRUE	Website of Grupo Konecta	3	TRUE	3/18/2009
116	3/18/2009	3/18/2009	8	9163	131296823	93876823	TRUE	Global Compact	3	FALSE	
117	3/18/2009	3/19/2009	8	9057	128566823	93876823	TRUE	Corporate website	3	TRUE	3/19/2009
118	3/19/2009	3/19/2009	9	4335	24726823	93876823	TRUE	www.kbc.com/csr	3	TRUE	3/19/2009
119	3/19/2009	3/19/2009	4	4335	24726823	93876823	TRUE	2008 CSR report	3	TRUE	3/20/2009
120	3/19/2009	3/19/2009	5	7811	97156823	93876823	TRUE	Tender Report	3	TRUE	3/19/2009
121	3/19/2009	3/19/2009	31	8726	120056823	93876823	TRUE	2009 Group Policy and Global responsibility commit	3	FALSE	
122	3/20/2009	3/24/2009	4	5282	3252	93876823	TRUE	Livre Vert du Bureau	3	TRUE	3/24/2009
123	3/23/2009	3/24/2009	31	8817	122446823	93876823	TRUE	Code of Ethics and Business Conduct of Nexans	3	FALSE	
124	3/23/2009	3/24/2009	5	8817	122446823	93876823	TRUE	2009 Annual Report	3	FALSE	
125	3/23/2009	3/24/2009	27	8817	122446823	93876823	TRUE	Global Compact: Nexans has committed itself to a r	3	FALSE	
126	3/23/2009	3/24/2009	10	8817	122446823	93876823	TRUE	Nexans Corporate Presentation	3	FALSE	
127	3/24/2009	3/24/2009	4	6667	57606823	93876823	TRUE	CSR Report 2009	3	FALSE	
128	3/24/2009	3/24/2009	8	8463	113556823	93876823	TRUE	Corporate Responsibility/UN Global Compact	3	FALSE	
129	3/24/2009	3/24/2009	3	1774	48046823	87806823	TRUE	Comunicação de Progresso - Coelba	3	TRUE	3/25/2009
130	3/24/2009	4/1/2009	27	6531	5716	93876823	TRUE	2010 Corporate responsibility brochure	2	FALSE	
131	3/24/2009	3/24/2009	4	4118	132526823	93876823	TRUE	Invensys Sustainability Report	3	FALSE	
132	3/24/2009	3/24/2009	15	8492	114196823	93876823	TRUE	Letter heads	3	TRUE	3/24/2009
