ORG_NAME	BHRRC_URL
Alexander Rose	A/AlexanderRose
Alexkor	A/Alexkor
Alfa 5	A/Alfa5
Alfa-Bank	A/Alfa-Bank
Alibaba.com	A/Alibabacom
Aljoma Lumber	A/AljomaLumber
Alkane Energy	A/AlkaneEnergy
All America Latina Logistica	A/AllAmericaLatinaLogistica
All Nippon Airways	A/AllNipponAirways
Allco	A/Allco
Allegheny Energy	A/AlleghenyEnergy
Allen & Overy	A/AllenOvery
Allergan	A/Allergan
Alliance & Leicester	A/AllianceLeicester
Alliance Boots	A/AllianceBoots
Alliance Capital	A/AllianceCapital
Alliance One	A/AllianceOne
Alliance Unichem (now Alliance Boots)	A/AllianceUnichemnowAllianceBoots
Alliant Energy	A/AlliantEnergy
Allianz	A/Allianz
Allied Domecq (joint venture Pernod Ricard & Fortune Brands)	A/AlliedDomecqjointventurePernodRicardFortuneBrands
Allied Irish Banks	A/AlliedIrishBanks
Allied Technologies (Altech)	A/AlliedTechnologiesAltech
Allstate	A/Allstate
Alltel	A/Alltel
Almacenar (part of Bancolombia)	A/AlmacenarpartofBancolombia
Almco	A/Almco
Almirall Prodesfarma	A/AlmirallProdesfarma
Alpargatas	A/Alpargatas
Alpha Natural Resources	A/AlphaNaturalResources
Alps Electronic	A/AlpsElectronic
Alpura	A/Alpura
Alrosa (Almazy Rossii Sakha)	A/AlrosaAlmazyRossiiSakha
Alstom	A/Alstom
Alston & Bird	A/AlstonBird
Altadis	A/Altadis
Altan Dornod Mongol	A/AltanDornodMongol
AltaVista	A/AltaVista
Altera	A/Altera
Altos Hornos de México	A/AltosHornosdeMxico
Altria	A/Altria
Alumina	A/Alumina
Aluminij	A/Aluminij
Aluminium Bahrain (see Alba)	A/AluminiumBahrainseeAlba
Aluminum Corporation of China (Chalco)	A/AluminumCorporationofChinaChalco
Alvis Vickers	A/AlvisVickers
Alyeska Pipeline	A/AlyeskaPipeline
ALZA	A/ALZA
Amaggi (part of Grupo André Maggi)	A/AmaggipartofGrupoAndrMaggi
Amalgamated Bank	A/AmalgamatedBank
Amanco (part of Grupo Nueva)	A/AmancopartofGrupoNueva
Amazon.com	A/Amazoncom
AMB Generali	A/AMBGenerali
AmBev (part of InBev)	A/AmBevpartofInBev
AMEC	A/AMEC
Amer	A/Amer
Amerada Hess (see Hess Corporation)	A/AmeradaHessseeHessCorporation
Ameren	A/Ameren
América Movil	A/AmricaMovil
American Airlines	A/AmericanAirlines
American Apparel	A/AmericanApparel
American Beryllium	A/AmericanBeryllium
American Eagle Outfitters	A/AmericanEagleOutfitters
American Electric Power	A/AmericanElectricPower
American Express	A/AmericanExpress
American Greetings	A/AmericanGreetings
American Home Products (see Wyeth)	A/AmericanHomeProductsseeWyeth
American International Group (see AIG)	A/AmericanInternationalGroupseeAIG
American Modern Insurance (part of Midland Company)	A/AmericanModernInsurancepartofMidlandCompany
American National Insurance	A/AmericanNationalInsurance
American Pad & Paper	A/AmericanPadPaper
American Standard	A/AmericanStandard
American Vanguard (AMVAC)	A/AmericanVanguardAMVAC
American Water (part of RWE)	A/AmericanWaterpartofRWE
Amerigroup	A/Amerigroup
AmerisourceBergen	A/AmerisourceBergen
Amerop Sugar	A/AmeropSugar
Amgen	A/Amgen
Amica	A/Amica
Amitié (part of El Corte Inglés)	A/AmitipartofElCorteIngls
Amorim	A/Amorim
AMP Group	A/AMPGroup
AMR (see American Airlines)	A/AMRseeAmericanAirlines
Amrop Hever Perú	A/AmropHeverPer
AmSouth	A/AmSouth
Amtrak	A/Amtrak
AMVAC (see American Vanguard)	A/AMVACseeAmericanVanguard
Amway	A/Amway
Amylin	A/Amylin
Anadarko	A/Anadarko
Analog Devices	A/AnalogDevices
And1	A/And1
Andersen Corporation	A/AndersenCorporation
Anderson Clayton	A/AndersonClayton
Anderson Columbia	A/AndersonColumbia
Anderson Fuel and Lubricants	A/AndersonFuelandLubricants
Andhra Pradesh Paper Mills	A/AndhraPradeshPaperMills
Andrade Gutierrez	A/AndradeGutierrez
Andritz	A/Andritz
Angelica	A/Angelica
Anglo American	A/AngloAmerican
Anglo Platinum (part of Anglo American)	A/AngloPlatinumpartofAngloAmerican
AngloGold Ashanti	A/AngloGoldAshanti
Anglovaal (see African Rainbow Minerals)	A/AnglovaalseeAfricanRainbowMinerals
Angola Selling Corporation (see ASCORP)	A/AngolaSellingCorporationseeASCORP
Anheuser-Busch	A/Anheuser-Busch
Ankur Seeds	A/AnkurSeeds
Ann Taylor	A/AnnTaylor
Ansell	A/Ansell
Anshan Iron & Steel (Angang)	A/AnshanIronSteelAngang
Ansul (part of Tyco)	A/AnsulpartofTyco
Antamina	A/Antamina
Antofagasta	A/Antofagasta
Antonov	A/Antonov
Anvil Ensembles	A/AnvilEnsembles
Anvil Mining	A/AnvilMining
ANZ Bank	A/ANZBank
AOL (part of Time Warner)	A/AOLpartofTimeWarner
Aon	A/Aon
Apache	A/Apache
Apasco (see Holcim Apasco)	A/ApascoseeHolcimApasco
APL Limited (part of Neptune Orient Lines)	A/APLLimitedpartofNeptuneOrientLines
Apogent Technologies	A/ApogentTechnologies
Apollo Tyres	A/ApolloTyres
Apotex	A/Apotex
APP (see Asia Pulp & Paper)	A/APPseeAsiaPulpPaper
APPH (part of BBA Aviation)	A/APPHpartofBBAAviation
Apple	A/Apple
Applebee's International	A/ApplebeesInternational
Appleby Jewellers	A/ApplebyJewellers
Applera	A/Applera
APRIL (Asia Pacific Resources International Limited)	A/APRILAsiaPacificResourcesInternationalLimited
Aptech	A/Aptech
AquaChile	A/AquaChile
Arab Bank	A/ArabBank
Arab Potash Company	A/ArabPotashCompany
"Arabian Oil, Grain and Chemical Complex"	A/ArabianOilGrainandChemicalComplex
Aracruz Celulose	A/AracruzCelulose
Aramark	A/Aramark
Aramex	A/Aramex
Arauco (see Celulosa Arauco y Constitución)	A/AraucoseeCelulosaAraucoyConstitucin
Arcadia Group	A/ArcadiaGroup
Arcelor (now Arcelor Mittal)	A/ArcelornowArcelorMittal
Arcelor Mittal	A/ArcelorMittal
Arch Chemicals	A/ArchChemicals
Arch Coal	A/ArchCoal
Archer Daniels Midland	A/ArcherDanielsMidland
Archipelago Resources	A/ArchipelagoResources
Arco (part of BP)	A/ArcopartofBP
Arcor	A/Arcor
Arena	A/Arena
Arent Fox	A/ArentFox
Areva	A/Areva
Argenbright (part of Group 4 Securicor)	A/ArgenbrightpartofGroup4Securicor
Argenti Lemon	A/ArgentiLemon
Argos (part of Home Retail Group)	A/ArgospartofHomeRetailGroup
ARINC	A/ARINC
Arizona Public Service Company (part of Pinnacle West Capital)	A/ArizonaPublicServiceCompanypartofPinnacleWestCapital
Arja Textile	A/ArjaTextile
Arkema (part of Total)	A/ArkemapartofTotal
Arla Foods	A/ArlaFoods
Arm Holdings	A/ArmHoldings
Armani (see Giorgio Armani)	A/ArmaniseeGiorgioArmani
ArmorGroup	A/ArmorGroup
Armour Pharmaceutical	A/ArmourPharmaceutical
Armstrong	A/Armstrong
Arnold & Porter	A/ArnoldPorter
Arsenal	A/Arsenal
Arup	A/Arup
ArvinMeritor	A/ArvinMeritor
Asarco (part of Grupo México)	A/AsarcopartofGrupoMxico
Asbury Automotive	A/AsburyAutomotive
Ascendant Copper	A/AscendantCopper
Ascendant Holdings	A/AscendantHoldings
"ASCORP (Angola Selling Corporation) (joint venture Endiama, Lev Leviev Group, Omega Diamonds)"	A/ASCORPAngolaSellingCorporationjointventureEndiamaLevLevievGroupOmegaDiamonds
ASDA (part of Wal-Mart)	A/ASDApartofWal-Mart
ASET Capital	A/ASETCapital
Ash Grove Cement	A/AshGroveCement
Ashanti Goldfields (see AngloGold Ashanti)	A/AshantiGoldfieldsseeAngloGoldAshanti
Ashland	A/Ashland
Ashok Leyland	A/AshokLeyland
Asia Energy	A/AsiaEnergy
Asia Pacific Resources	A/AsiaPacificResources
Asia Pulp & Paper (part of Sinar Mas)	A/AsiaPulpPaperpartofSinarMas
Asian Paints	A/AsianPaints
Asiana Airlines	A/AsianaAirlines
Asics	A/Asics
Askar Security Services	A/AskarSecurityServices
Asociación Chilena de Seguridad	A/AsociacinChilenadeSeguridad
Aspen Insurance	A/AspenInsurance
Aspen Pharmacare	A/AspenPharmacare
Aspen Skiing Company	A/AspenSkiingCompany
Asprey (part of A&G Group)	A/AspreypartofAGGroup
Assicurazioni Generali	A/AssicurazioniGenerali
Assmang	A/Assmang
Associated British Foods	A/AssociatedBritishFoods
Associated British Ports	A/AssociatedBritishPorts
Associated Cement (see ACC Limited)	A/AssociatedCementseeACCLimited
Assore	A/Assore
AstraZeneca	A/AstraZeneca
Asturiana de Zinc (part of Xstrata)	A/AsturianadeZincpartofXstrata
AT&T	A/ATT
ATDI	A/ATDI
Atlantic Container Line	A/AtlanticContainerLine
Atlas Copco	A/AtlasCopco
Atofina (see Arkema)	A/AtofinaseeArkema
Atos Origin	A/AtosOrigin
ATP Insaat (part of Koza Davetiye)	A/ATPInsaatpartofKozaDavetiye
Attila Dogan	A/AttilaDogan
Atwood Oceanics	A/AtwoodOceanics
Auchan	A/Auchan
Aurafin	A/Aurafin
Aurobindo Pharmaceuticals	A/AurobindoPharmaceuticals
Aurora Gold	A/AuroraGold
Austindo Resources	A/AustindoResources
Australand	A/Australand
Australia Post	A/AustraliaPost
Australian Ethical Investment	A/AustralianEthicalInvestment
Austrian Airlines	A/AustrianAirlines
AutoNation	A/AutoNation
Autopistas del Sol	A/AutopistasdelSol
