ORG_NAME	BHRRC_URL
Burlington Resources (part of ConocoPhillips)	B/BurlingtonResourcespartofConocoPhillips
Burson-Marsteller	B/Burson-Marsteller
Bushmaster	B/Bushmaster
BYD	B/BYD
Çalik Holding	C/alikHolding
C & A	C/CA
C-BONS Group	C/C-BONSGroup
C. F. Martin	C/CFMartin
C.R. Bard	C/CRBard
Cable and Wireless	C/CableandWireless
Cablevision	C/Cablevision
Cabot Corporation	C/CabotCorporation
CACI	C/CACI
Cadbury Schweppes	C/CadburySchweppes
Café de Coral	C/CafdeCoral
Cafédirect	C/Cafdirect
Cahya Mata Sarawak (CMS)	C/CahyaMataSarawakCMS
Cainafunuo Wood	C/CainafunuoWood
Cairn Energy	C/CairnEnergy
Caisse d'Epargne	C/CaissedEpargne
Caisse des Dépôts	C/CaissedesDpts
Caja Madrid	C/CajaMadrid
Caja Navarra	C/CajaNavarra
CajaGranada	C/CajaGranada
Cal-Comp Electronics	C/Cal-CompElectronics
Calpine	C/Calpine
Caltex	C/Caltex
Calvin Klein (part of Phillips-Van Heusen)	C/CalvinKleinpartofPhillips-VanHeusen
Calyon (part of Crédit Agricole)	C/CalyonpartofCrditAgricole
Cambior	C/Cambior
Cambrian	C/Cambrian
Cameco	C/Cameco
CamelBak	C/CamelBak
Camelot	C/Camelot
Cameroon Oil Transportation	C/CameroonOilTransportation
Camif	C/Camif
Cammell Laird	C/CammellLaird
Campbell Soup	C/CampbellSoup
Camper	C/Camper
Canadian Imperial Bank of Commerce (CIBC)	C/CanadianImperialBankofCommerceCIBC
Canadian Natural Resources	C/CanadianNaturalResources
Canara Bank	C/CanaraBank
Canary Wharf	C/CanaryWharf
Canon	C/Canon
CanWest Global Communications	C/CanWestGlobalCommunications
Cape Cod Potato Chip (part of Lance)	C/CapeCodPotatoChippartofLance
Cape PLC	C/CapePLC
Capgemini	C/Capgemini
Capital & Credit Financial	C/CapitalCreditFinancial
Capital One	C/CapitalOne
CAPS	C/CAPS
Cara Operations	C/CaraOperations
Carbones del Caribe	C/CarbonesdelCaribe
Carbozulia (part of PDVSA)	C/CarbozuliapartofPDVSA
Carcafe (part of ED&F Man)	C/CarcafepartofEDFMan
Cárdenas & Cárdenas	C/CrdenasCrdenas
Cardinal	C/Cardinal
Cargill	C/Cargill
Cargo	C/Cargo
Cargolux	C/Cargolux
Carillion	C/Carillion
Carl Walther	C/CarlWalther
Carlos Casado	C/CarlosCasado
Carlsberg Breweries	C/CarlsbergBreweries
Carlson	C/Carlson
Carlyle Group	C/CarlyleGroup
Carnival	C/Carnival
Carphone Warehouse	C/CarphoneWarehouse
Carrefour	C/Carrefour
Carrier (part of United Technologies)	C/CarrierpartofUnitedTechnologies
Carritt Moran	C/CarrittMoran
Carter's	C/Carters
Cartier (part of Richemont)	C/CartierpartofRichemont
Casas Bahia	C/CasasBahia
Casella	C/Casella
Casino	C/Casino
Casio	C/Casio
Caterpillar	C/Caterpillar
Cathay Pacific	C/CathayPacific
Cato	C/Cato
CBA (Companhia Brasileira de Aluminio)	C/CBACompanhiaBrasileiradeAluminio
CBRL Group	C/CBRLGroup
CBS	C/CBS
CDO Foodsphere	C/CDOFoodsphere
"Cegetel (joint venture SNCF, Vivendi Universal & Vodafone)"	C/CegeteljointventureSNCFVivendiUniversalVodafone
Celebrity Cruises (part of Royal Caribbean Cruises)	C/CelebrityCruisespartofRoyalCaribbeanCruises
Celestica	C/Celestica
Celio	C/Celio
Celtel	C/Celtel
Celulosa Arauco y Constitución (CELCO)	C/CelulosaAraucoyConstitucinCELCO
CEM (part of Tractebel)	C/CEMpartofTractebel
Cement Roadstone Holdings (see CRH)	C/CementRoadstoneHoldingsseeCRH
Cemento Cibao	C/CementoCibao
Cementos Argos	C/CementosArgos
Cementos Lima	C/CementosLima
Cementos Portland Moctezuma (part of Corporación Moctezuma)	C/CementosPortlandMoctezumapartofCorporacinMoctezuma
Cemex	C/Cemex
Cémoi	C/Cmoi
Cencosud	C/Cencosud
Cendant (now Avis Budget)	C/CendantnowAvisBudget
Centennial Coal	C/CentennialCoal
CenterPoint Energy	C/CenterPointEnergy
Centerra Gold (part of Cameco)	C/CenterraGoldpartofCameco
Centex	C/Centex
Central Azucarera de Tarlac	C/CentralAzucareradeTarlac
Central Azucarera Don Pedro	C/CentralAzucareraDonPedro
Central Izalco	C/CentralIzalco
Central Japan Railway	C/CentralJapanRailway
Central Warehousing Corporation	C/CentralWarehousingCorporation
Centrica	C/Centrica
Centrosolar	C/Centrosolar
Century 21 Real Estate	C/Century21RealEstate
Cenzin	C/Cenzin
Cerberus Capital Management	C/CerberusCapitalManagement
Ceres Hellenic Shipping Enterprises	C/CeresHellenicShippingEnterprises
Cermaq	C/Cermaq
Cerner	C/Cerner
"Cerrejón Coal (joint venture Anglo American, BHP Billiton, Xstrata)"	C/CerrejnCoaljointventureAngloAmericanBHPBillitonXstrata
Cerro Matoso (part of BHP Billiton)	C/CerroMatosopartofBHPBilliton
Cerro Vanguardia (joint venture AngloGold Ashanti and Formicruz)	C/CerroVanguardiajointventureAngloGoldAshantiandFormicruz
CertainTeed (part of Saint-Gobain)	C/CertainTeedpartofSaint-Gobain
Cesce	C/Cesce
Ceská zbrojovka	C/Ceskzbrojovka
Ceylon Express	C/CeylonExpress
CFAO (part of Pinault-Printemps-Redoute)	C/CFAOpartofPinault-Printemps-Redoute
CGC (see Compañía General de Combustibles)	C/CGCseeCompaaGeneraldeCombustibles
Chalco (see Aluminum Corporation of China)	C/ChalcoseeAluminumCorporationofChina
Challenger Financial Services	C/ChallengerFinancialServices
Chambishi Metals	C/ChambishiMetals
Champion (part of Hanesbrands)	C/ChampionpartofHanesbrands
Chanel	C/Chanel
Changan	C/Changan
Changshu 3F Zhonghao New Chemical Materials (part of Shanghai 3F New Chemical Materials)	C/Changshu3FZhonghaoNewChemicalMaterialspartofShanghai3FNewChemicalMaterials
Changzheng Building Materials	C/ChangzhengBuildingMaterials
Chapuis Armes - Manurhin	C/ChapuisArmes-Manurhin
Charles Schwab	C/CharlesSchwab
Charming Shoppes	C/CharmingShoppes
Charoen Pokphand (see CP)	C/CharoenPokphandseeCP
Chas Schwartz & Son	C/ChasSchwartzSon
Chase (part of JPMorgan Chase)	C/ChasepartofJPMorganChase
Chase Electronics	C/ChaseElectronics
CHC	C/CHC
Chef Solutions (part of Questor)	C/ChefSolutionspartofQuestor
Chemaf	C/Chemaf
Chemtura	C/Chemtura
Chenfeng Group	C/ChenfengGroup
Chengda	C/Chengda
Chenming Paper	C/ChenmingPaper
Chennai Petroleum Corporation	C/ChennaiPetroleumCorporation
Chenshen Group	C/ChenshenGroup
Chentex	C/Chentex
Cherokee	C/Cherokee
Chesapeake Energy	C/ChesapeakeEnergy
Cheung Kong	C/CheungKong
Chevalier	C/Chevalier
Chevignon (part of Naf Naf)	C/ChevignonpartofNafNaf
Chevron	C/Chevron
Chia Khim Lee	C/ChiaKhimLee
Chia Tai China (part of CP)	C/ChiaTaiChinapartofCP
Chiba Bank	C/ChibaBank
Chicco	C/Chicco
Chickeeduck	C/Chickeeduck
Chigo Air-Conditioning	C/ChigoAir-Conditioning
Children's Place	C/ChildrensPlace
Chiletabacos	C/Chiletabacos
China Academy of Telecommunication Technology	C/ChinaAcademyofTelecommunicationTechnology
China Airlines	C/ChinaAirlines
China Aviation Supplies Imp. & Exp.	C/ChinaAviationSuppliesImpExp
China Construction Bank	C/ChinaConstructionBank
China Exim	C/ChinaExim
China Floors (see Cainafunuo Wood)	C/ChinaFloorsseeCainafunuoWood
China Gezhouba	C/ChinaGezhouba
China Guodian	C/ChinaGuodian
China Huadian	C/ChinaHuadian
China Huaneng Group	C/ChinaHuanengGroup
China International Marine Containers	C/ChinaInternationalMarineContainers
China International Trust and Investment (CITIC)	C/ChinaInternationalTrustandInvestmentCITIC
China International Water & Electric (CWE)	C/ChinaInternationalWaterElectricCWE
China Life Insurance	C/ChinaLifeInsurance
China Merchants	C/ChinaMerchants
China Merchants Bank	C/ChinaMerchantsBank
China Minmetals	C/ChinaMinmetals
China Mobile	C/ChinaMobile
China National Electric Equipment (CNEEC)	C/ChinaNationalElectricEquipmentCNEEC
China National Heavy Machinery	C/ChinaNationalHeavyMachinery
China National Offshore Oil Corporation (see CNOOC)	C/ChinaNationalOffshoreOilCorporationseeCNOOC
China National Petroleum Corporation (CNPC)	C/ChinaNationalPetroleumCorporationCNPC
China National Water Resources & Hydropower Engineering (see Sinohydro)	C/ChinaNationalWaterResourcesHydropowerEngineeringseeSinohydro
China Netcom	C/ChinaNetcom
China Non-ferrous Metal Industry’s Foreign Engineering & Construction (NFC)	C/ChinaNon-ferrousMetalIndustrysForeignEngineeringConstructionNFC
China North Industries (see NORINCO)	C/ChinaNorthIndustriesseeNORINCO
China Ocean Shipping	C/ChinaOceanShipping
China Petroleum & Chemical (see Sinopec)	C/ChinaPetroleumChemicalseeSinopec
China Pingan Insurance	C/ChinaPinganInsurance
China Power Investment	C/ChinaPowerInvestment
China Public Security Technology (CPST)	C/ChinaPublicSecurityTechnologyCPST
China Railway Engineer	C/ChinaRailwayEngineer
China Resources Breweries (joint venture China Resources Enterprises & SABMiller)	C/ChinaResourcesBreweriesjointventureChinaResourcesEnterprisesSABMiller
China Resources Enterprises	C/ChinaResourcesEnterprises
China Shenhua Energy (part of Shenhua Group)	C/ChinaShenhuaEnergypartofShenhuaGroup
China Southern Power Grid	C/ChinaSouthernPowerGrid
China Steel	C/ChinaSteel
China Synthetic Rubber	C/ChinaSyntheticRubber
China Telecom	C/ChinaTelecom
China Three Gorges Project Corporation	C/ChinaThreeGorgesProjectCorporation
China TUHSU	C/ChinaTUHSU
China Water	C/ChinaWater
China Yituo	C/ChinaYituo
Chiquita	C/Chiquita
Chiron	C/Chiron
Chisso	C/Chisso
Chitotolo (Sociedade Mineira do Chitotolo)	C/ChitotoloSociedadeMineiradoChitotolo
Chiyoda	C/Chiyoda
Choice Hotels	C/ChoiceHotels
ChoicePoint	C/ChoicePoint
Chong Won	C/ChongWon
Chongqing Electric Power (part of State Grid Corporation of China)	C/ChongqingElectricPowerpartofStateGridCorporationofChina
ChongQing Jinbiao Biotechnology	C/ChongQingJinbiaoBiotechnology
Chongqing Jiulong Electric Power	C/ChongqingJiulongElectricPower
Chongqing Lifan Industry	C/ChongqingLifanIndustry
Christian Bernard	C/ChristianBernard
Chrome Energy	C/ChromeEnergy
CHS	C/CHS
Chubb Group	C/ChubbGroup
Chugoku Electric Power	C/ChugokuElectricPower
Chunghwa Telecom	C/ChunghwaTelecom
ChuoAoyama Audit (part of PricewaterhouseCoopers)	C/ChuoAoyamaAuditpartofPricewaterhouseCoopers
Church & Dwight	C/ChurchDwight
Ciba Specialty Chemicals	C/CibaSpecialtyChemicals
Cicam (Cotonnière Industrielle du Cameroun)	C/CicamCotonnireIndustrielleduCameroun
CIGNA	C/CIGNA
Ciments du Sahel	C/CimentsduSahel
Cimpor	C/Cimpor
Cincinnati Bell	C/CincinnatiBell
Cincinnati Financial	C/CincinnatiFinancial
Cinemex	C/Cinemex
Cinergy (now Duke Energy)	C/CinergynowDukeEnergy
Cingular Wireless (now AT&T)	C/CingularWirelessnowATT
Cintas	C/Cintas
Cipla	C/Cipla
Circuit City	C/CircuitCity
Cirque du Soleil	C/CirqueduSoleil
Cisco Systems	C/CiscoSystems
CIT	C/CIT
Citibank (part of Citigroup)	C/CitibankpartofCitigroup
CITIC Pacific	C/CITICPacific
Citigroup	C/Citigroup
Citroën (see PSA Peugeot-Citroën)	C/CitronseePSAPeugeot-Citron
Citromax	C/Citromax
City West Water	C/CityWestWater
CJ	C/CJ
CKE Restaurants	C/CKERestaurants
Clariant	C/Clariant
Clarks	C/Clarks
Cleanaway (part of Brambles)	C/CleanawaypartofBrambles
Cleansing Service Group	C/CleansingServiceGroup
Clear Channel	C/ClearChannel
Clif Bar	C/ClifBar
Clifford Chance	C/CliffordChance
Climax Mining	C/ClimaxMining
Clorox	C/Clorox
CLP Holdings	C/CLPHoldings
CM Group	C/CMGroup
CMEC (China National Machinery & Equipment)	C/CMECChinaNationalMachineryEquipment
CMP Media (part of United Business Media)	C/CMPMediapartofUnitedBusinessMedia
CMS Energy	C/CMSEnergy
CNA	C/CNA
CNGC	C/CNGC
CNOOC (China National Offshore Oil Corporation)	C/CNOOCChinaNationalOffshoreOilCorporation
CNP Assurances	C/CNPAssurances
CNPC (see China National Petroleum Corporation)	C/CNPCseeChinaNationalPetroleumCorporation
CNSC	C/CNSC
CNSC Fortune Way (part of CNSC)	C/CNSCFortuneWaypartofCNSC
Co-operative Bank (part of Co-operative Group)	C/Co-operativeBankpartofCo-operativeGroup
Co-operative Bank of Kenya	C/Co-operativeBankofKenya
Co-operative Financial Services (CFS) (part of Co-operative Group)	C/Co-operativeFinancialServicesCFSpartofCo-operativeGroup
Co-operative Group	C/Co-operativeGroup
Co-operative Insurance Society (part of Co-operative Group)	C/Co-operativeInsuranceSocietypartofCo-operativeGroup
Coates Hire	C/CoatesHire
Coca-Cola	C/Coca-Cola
Coca-Cola FEMSA	C/Coca-ColaFEMSA
Codelco	C/Codelco
Coeur d'Alene	C/CoeurdAlene
COGEMA (part of Areva)	C/COGEMApartofAreva
Cognis	C/Cognis
COK Co-operative Credit Union	C/COKCo-operativeCreditUnion
Colbún	C/Colbn
Cole & Ashcroft	C/ColeAshcroft
Cole Specialty Systems	C/ColeSpecialtySystems
Coles Group	C/ColesGroup
Colgate-Palmolive	C/Colgate-Palmolive
Collegiate Licensing	C/CollegiateLicensing
Collum Coal Mining	C/CollumCoalMining
Colmena	C/Colmena
Colonial First State	C/ColonialFirstState
Colonial Pipeline	C/ColonialPipeline
Columbia Sportswear	C/ColumbiaSportswear
Columbus Stainless	C/ColumbusStainless
Comcast	C/Comcast
Comcraft Kenya	C/ComcraftKenya
Comercial Mexicana	C/ComercialMexicana
Comercializadora Internacional Santandereana de Aceites (see Saceites)	C/ComercializadoraInternacionalSantandereanadeAceitesseeSaceites
Comerica	C/Comerica
Comfort Inn (part of Choice Hotels)	C/ComfortInnpartofChoiceHotels
Comisión Federal de Electricidad	C/ComisinFederaldeElectricidad
Commemorative Brands (part of American Achievement)	C/CommemorativeBrandspartofAmericanAchievement
Commercial Metals	C/CommercialMetals
Commerzbank	C/Commerzbank
Commonwealth Bank	C/CommonwealthBank
Compagnie Ivoirienne d'Electricité (CIE)	C/CompagnieIvoiriennedElectricitCIE
Compagnie Mauricienne de Textile (CMT)	C/CompagnieMauriciennedeTextileCMT
Companhia Paranaense de Energia (COPEL)	C/CompanhiaParanaensedeEnergiaCOPEL
Companhia Siderúrgica de Tubarão (CST)	C/CompanhiaSiderrgicadeTubaroCST
Companhia Vale do Rio Doce	C/CompanhiaValedoRioDoce
Compaq (part of HP)	C/CompaqpartofHP
Compass Group	C/CompassGroup
Compañía Azucarera Salvadoreña	C/CompaaAzucareraSalvadorea
Compañía de Galletas Noel	C/CompaadeGalletasNoel
Compañía de Tierras del Sud Argentino (part of Benetton)	C/CompaadeTierrasdelSudArgentinopartofBenetton
Compañía Envasadora del Atlántico	C/CompaaEnvasadoradelAtlntico
Compañía Fresnillo	C/CompaaFresnillo
Compañía General de Combustibles (part of Southern Cross)	C/CompaaGeneraldeCombustiblespartofSouthernCross
Compañía Guatemalteca de Níquel (CGN) (part of Skye Resources)	C/CompaaGuatemaltecadeNquelCGNpartofSkyeResources
Complementos Alimentarios de Zaidín (CAZSA)	C/ComplementosAlimentariosdeZaidnCAZSA
Compton Jewelers	C/ComptonJewelers
Computer Sciences	C/ComputerSciences
Computime	C/Computime
Con Edison	C/ConEdison
ConAgra	C/ConAgra
Concord Pacific	C/ConcordPacific
Conforama (part of Pinault-Printemps-Redoute)	C/ConforamapartofPinault-Printemps-Redoute
Connex (part of Veolia Environnement)	C/ConnexpartofVeoliaEnvironnement
ConocoPhillips	C/ConocoPhillips
Consignia	C/Consignia
Consol Energy	C/ConsolEnergy
Consolidated Bank of Kenya	C/ConsolidatedBankofKenya
Constellation Energy	C/ConstellationEnergy
Continental AG	C/ContinentalAG
Continental Airlines	C/ContinentalAirlines
Continental Carbon	C/ContinentalCarbon
Continental Clothing	C/ContinentalClothing
Continuum Resources	C/ContinuumResources
Control Risks	C/ControlRisks
Converse (part of Nike)	C/ConversepartofNike
Cookson	C/Cookson
Coop (Switzerland)	C/CoopSwitzerland
Coop Norden	C/CoopNorden
Cooper & Co	C/CooperCo
Cooper Industries	C/CooperIndustries
Cooperativa La Cruz Azul	C/CooperativaLaCruzAzul
Coors (see Adolph Coors)	C/CoorsseeAdolphCoors
COPEL (see Companhia Paranaense de Energia)	C/COPELseeCompanhiaParanaensedeEnergia
Coq Sportif	C/CoqSportif
Cora	C/Cora
Corabastos	C/Corabastos
Corel (part of Vector Capital)	C/CorelpartofVectorCapital
Corferias	C/Corferias
Corn Products International	C/CornProductsInternational
Corning	C/Corning
Corporación Moctezuma	C/CorporacinMoctezuma
Corporación Venezolana de Guyana	C/CorporacinVenezolanadeGuyana
Corporativo Moss	C/CorporativoMoss
Correctional Services	C/CorrectionalServices
Corriente Resources	C/CorrienteResources
Cortefiel	C/Cortefiel
Corus Entertainment	C/CorusEntertainment
Corus Group	C/CorusGroup
Cosan Group	C/CosanGroup
Cosco	C/Cosco
Coservicios	C/Coservicios
Cosipar (Companhia Siderurgica do Pará)	C/CosiparCompanhiaSiderurgicadoPar
Cosmo Oil	C/CosmoOil
Cosmos	C/Cosmos
Costa Cruise Lines (part of Carnival)	C/CostaCruiseLinespartofCarnival
Costain	C/Costain
Costco	C/Costco
Cotecna	C/Cotecna
Cotton Group	C/CottonGroup
Coty	C/Coty
Country Garden	C/CountryGarden
Cousins Properties	C/CousinsProperties
Covington & Burling	C/CovingtonBurling
Cox Enterprises	C/CoxEnterprises
CP (Charoen Pokphand)	C/CPCharoenPokphand
Cracker Barrel (part of CBRL Group)	C/CrackerBarrelpartofCBRLGroup
Crane Co.	C/CraneCo
Crate & Barrel	C/CrateBarrel
Cravath Swaine & Moore	C/CravathSwaineMoore
CRDB Bank	C/CRDBBank
Creata	C/Creata
Creative Associates	C/CreativeAssociates
Creative Outsourcing Solutions International (COSi)	C/CreativeOutsourcingSolutionsInternationalCOSi
Cred Jewellery	C/CredJewellery
Crédit Agricole	C/CrditAgricole
Crédit Commercial de France	C/CrditCommercialdeFrance
Crédit du Nord	C/CrditduNord
Crédit Lyonnais (part of Crédit Agricole)	C/CrditLyonnaispartofCrditAgricole
Crédit Mutuel-CIC	C/CrditMutuel-CIC
Credit Suisse	C/CreditSuisse
Crescent Moon Fibers	C/CrescentMoonFibers
Crescent Security Group	C/CrescentSecurityGroup
CRH (Cement Roadstone Holdings)	C/CRHCementRoadstoneHoldings
Cromatos de México (was part of Bayer)	C/CromatosdeMxicowaspartofBayer
Crompton Corporation	C/CromptonCorporation
Crown Hardwood Veneer	C/CrownHardwoodVeneer
Crown Resources	C/CrownResources
Cruz Azul (see Cooperativa La Cruz Azul)	C/CruzAzulseeCooperativaLaCruzAzul
Crystal Cruises (part of NYK Line)	C/CrystalCruisespartofNYKLine
CSFB (see Credit Suisse)	C/CSFBseeCreditSuisse
CSR	C/CSR
CSX	C/CSX
Cubic	C/Cubic
Cumberland Farms	C/CumberlandFarms
Cummins	C/Cummins
Cunard Line (part of Carnival)	C/CunardLinepartofCarnival
Cuno Melcher (part of ME Sportwaffen)	C/CunoMelcherpartofMESportwaffen
Curacao Drydock	C/CuracaoDrydock
Custer Battles	C/CusterBattles
Cutter & Buck	C/CutterBuck
Cutters Gloves (part of Entrix Sports)	C/CuttersGlovespartofEntrixSports
CVRD (see Companhia Vale do Rio Doce)	C/CVRDseeCompanhiaValedoRioDoce
CVS	C/CVS
CWE (see China International Water & Electric)	C/CWEseeChinaInternationalWaterElectric
CWHEC (see Sinohydro)	C/CWHECseeSinohydro
Cytec Industries	C/CytecIndustries
D&S	D/DS
D. Navinchandra	D/DNavinchandra
D1 Oils	D/D1Oils
Dacrea	D/Dacrea
Dada	D/Dada
Daejoo Leports	D/DaejooLeports
Daewoo Electronics	D/DaewooElectronics
Daewoo Group	D/DaewooGroup
Daewoo International	D/DaewooInternational
Daewoo Motor (see GM Daewoo Auto & Technology)	D/DaewooMotorseeGMDaewooAutoTechnology
Dai-Ichi Mutual Life Insurance	D/Dai-IchiMutualLifeInsurance
Daiei	D/Daiei
Daikin	D/Daikin
Daily Mail and General Trust	D/DailyMailandGeneralTrust
Daily Variety (part of Reed Elsevier Group)	D/DailyVarietypartofReedElsevierGroup
DaimlerChrysler	D/DaimlerChrysler
Daishowa-Marubeni	D/Daishowa-Marubeni
Daiwa Securities	D/DaiwaSecurities
Dalhoff Larsen & Horneman (see DLH)	D/DalhoffLarsenHornemanseeDLH
Dana	D/Dana
Danaher	D/Danaher
Daniel Hechter	D/DanielHechter
Daniels Chilled Foods (part of Singapore Food Industries)	D/DanielsChilledFoodspartofSingaporeFoodIndustries
Danisco	D/Danisco
Danone	D/Danone
Danske Bank	D/DanskeBank
Danzer	D/Danzer
Darden Restaurants	D/DardenRestaurants
Das Air Cargo	D/DasAirCargo
Data Device	D/DataDevice
Datang International Power Generation	D/DatangInternationalPowerGeneration
Datong Coal Mine	D/DatongCoalMine
Davis Langdon	D/DavisLangdon
Davivienda	D/Davivienda
Day Chocolate Company	D/DayChocolateCompany
Dayton Hudson (see Target)	D/DaytonHudsonseeTarget
DBS Bank	D/DBSBank
DC Comics (part of Time Warner)	D/DCComicspartofTimeWarner
DCM Shriram	D/DCMShriram
DDC Ireland (part of Data Device)	D/DDCIrelandpartofDataDevice
De Beers	D/DeBeers
De Long Forest Resource	D/DeLongForestResource
Dead Sea Works (part of ICL Fertilizers)	D/DeadSeaWorkspartofICLFertilizers
Dean Foods	D/DeanFoods
Dean's Beans	D/DeansBeans
Debenhams	D/Debenhams
Debswana (joint venture De Beers & Botswana Govt.)	D/DebswanajointventureDeBeersBotswanaGovt
Décathlon	D/Dcathlon
Deceval	D/Deceval
DeCoro	D/DeCoro
DeCoster Farms	D/DeCosterFarms
Deere & Co (see John Deere)	D/DeereCoseeJohnDeere
DeFabCo	D/DeFabCo
Défense Conseil International	D/DfenseConseilInternational
Degussa	D/Degussa
Del Monte Foods	D/DelMonteFoods
Del Monte Fresh Produce (see Fresh Del Monte Produce)	D/DelMonteFreshProduceseeFreshDelMonteProduce
Del Monte Kenya (part of Fresh Del Monte Produce)	D/DelMonteKenyapartofFreshDelMonteProduce
Delhaize	D/Delhaize
Delhi Metro Rail Corporation	D/DelhiMetroRailCorporation
Delixi Group	D/DelixiGroup
Dell	D/Dell
Deloitte Touche Tohmatsu	D/DeloitteToucheTohmatsu
Delphi	D/Delphi
DelSur (part of PPL Corporation)	D/DelSurpartofPPLCorporation
Delta Air Lines	D/DeltaAirLines
Delta and Pine Land	D/DeltaandPineLand
Delta Hess (joint venture Amerada Hess & Delta Oil)	D/DeltaHessjointventureAmeradaHessDeltaOil
Delta Oil	D/DeltaOil
Delta Security Services	D/DeltaSecurityServices
Dena Bank	D/DenaBank
Denel	D/Denel
Denny's	D/Dennys
Denso	D/Denso
Detco Industries	D/DetcoIndustries
Deutsche Bank	D/DeutscheBank
Deutsche Post	D/DeutschePost
Deutsche Telekom	D/DeutscheTelekom
Devanlay	D/Devanlay
Devon Energy	D/DevonEnergy
Dexia	D/Dexia
DFS Furniture	D/DFSFurniture
DGI Group	D/DGIGroup
DHB Industries	D/DHBIndustries
DHL (part of Deutsche Post)	D/DHLpartofDeutschePost
Diadora	D/Diadora
Diagem	D/Diagem
Diageo	D/Diageo
Dial Corp (part of Henkel)	D/DialCorppartofHenkel
Diamond Bank	D/DiamondBank
Diamond Exports	D/DiamondExports
Diamond Offshore Drilling	D/DiamondOffshoreDrilling
Diamond Trading Company (part of De Beers)	D/DiamondTradingCompanypartofDeBeers
Diamond Trust Bank Kenya	D/DiamondTrustBankKenya
DiamondWorks (see Energem Resources)	D/DiamondWorksseeEnergemResources
Diarough	D/Diarough
Diavik (joint venture Rio Tinto & Aber Diamond Mines)	D/DiavikjointventureRioTintoAberDiamondMines
Dick Smith Electronics (part of Woolworths Limited)	D/DickSmithElectronicspartofWoolworthsLimited
Dick Smith Foods	D/DickSmithFoods
Diehl	D/Diehl
Diethelm Keller	D/DiethelmKeller
Dillard Trucking	D/DillardTrucking
Dillard's	D/Dillards
Dimension Data	D/DimensionData
Dinámica IPS	D/DinmicaIPS
Dior	D/Dior
DirecTV	D/DirecTV
Discount Bank	D/DiscountBank
Disney (see Walt Disney)	D/DisneyseeWaltDisney
Disney Cruise Line (part of Walt Disney)	D/DisneyCruiseLinepartofWaltDisney
Distinction Investment Holdings	D/DistinctionInvestmentHoldings
Diversa	D/Diversa
Dixon Ticonderoga	D/DixonTiconderoga
Dixons (part of DSG International)	D/DixonspartofDSGInternational
DKV	D/DKV
DLH (Dalhoff Larsen & Horneman)	D/DLHDalhoffLarsenHorneman
Doba Logistics	D/DobaLogistics
Dodge Company	D/DodgeCompany
Doe Run (part of Renco)	D/DoeRunpartofRenco
Dofasco	D/Dofasco
Dole	D/Dole
Dometic	D/Dometic
Dominion Resources	D/DominionResources
Domino's Pizza	D/DominosPizza
Domtar	D/Domtar
DONG Energy	D/DONGEnergy
Dongfeng Motor	D/DongfengMotor
Dongguan Chaoyue Metal Products	D/DongguanChaoyueMetalProducts
Donna Karan	D/DonnaKaran
Dorsey & Whitney	D/DorseyWhitney
Dow Chemical	D/DowChemical
Dowa	D/Dowa
Downer Edi	D/DownerEdi
DPL	D/DPL
Dr Pepper/Seven Up Bottling Group (owned by Cadbury Schweppes & Carlyle Group)	D/DrPepperSevenUpBottlingGroupownedbyCadburySchweppesCarlyleGroup
Dr. Reddy's Laboratories	D/DrReddysLaboratories
Dr.Hauschka	D/DrHauschka
Dragonair	D/Dragonair
Drax	D/Drax
DRDGold	D/DRDGold
Dresdner Bank (part of Allianz)	D/DresdnerBankpartofAllianz
Dress Barn	D/DressBarn
Dress Confect	D/DressConfect
Dresser-Rand	D/Dresser-Rand
Drew Pearson Marketing (part of Mainland Headwear)	D/DrewPearsonMarketingpartofMainlandHeadwear
Drie Mollen Holding	D/DrieMollenHolding
Drishtee	D/Drishtee
Drummond	D/Drummond
DSM	D/DSM
DTE Energy	D/DTEEnergy
Dubai Contracting	D/DubaiContracting
Duke Energy	D/DukeEnergy
Dumex	D/Dumex
Dunavant	D/Dunavant
Dunkin' Donuts (part of Dunkin' Brands)	D/DunkinDonutspartofDunkinBrands
Dunlop Nigeria	D/DunlopNigeria
DuPont	D/DuPont
Durban Roodepoort Deep (see DRDGold)	D/DurbanRoodepoortDeepseeDRDGold
Dutapalma Nusantara	D/DutapalmaNusantara
DynCorp	D/DynCorp
Éxito	E/xito
E.Land	E/ELand
E.ON	E/EON
E.W. Scripps	E/EWScripps
EADS (European Aeronautic Defence and Space)	E/EADSEuropeanAeronauticDefenceandSpace
Eagle Wings Resources Intl. (joint venture Chemie Pharmacie Holland & Trinitech Holdings)	E/EagleWingsResourcesIntljointventureChemiePharmacieHollandTrinitechHoldings
East African Breweries	E/EastAfricanBreweries
East Asiatic Company	E/EastAsiaticCompany
East Japan Railway	E/EastJapanRailway
Eastman Chemical Company	E/EastmanChemicalCompany
Eastman Kodak	E/EastmanKodak
Eastpak (part of VF Corp)	E/EastpakpartofVFCorp
easyJet	E/easyJet
Eaton	E/Eaton
eBay	E/eBay
EBX	E/EBX
EchoStar Communications	E/EchoStarCommunications
Eckerd	E/Eckerd
ECL (Exploration Consultants Limited)	E/ECLExplorationConsultantsLimited
Eclats Antivols	E/EclatsAntivols
Ecobank	E/Ecobank
EcoCreto	E/EcoCreto
Ecolab	E/Ecolab
Ecology Building Society	E/EcologyBuildingSociety
