LIST_EXCHANGE_CODE	LIST_EXCHANGE_NAME	LIST_SECONDARY_CODE	LIST_TERTIARY_CODE	TR01_COUNTRY_ID
DFM	Dubai Financial Market	DU	XDFM	AE
NA	NA (USA)			US
AMEX	American Stock And Options Exchange (Amex)	A	XASE	US
NASDAQ	Nasdaq	OQ	XNAS	US
NYSE	"New York Stock Exchange, Inc."	N	XNYS	US
OTC	Otc Bulletin Board		XOTC	US
PINK	Pink Sheets (National Quotation Bureau)	PNK	PINX	US
CLS	Electronic Stock Exchange Of Venezuela (Bolsa De Valores De Caracas)	EB	XCAR	VE
LUS	Lusaka Stock Exchange	LZ	XLUS	ZM
ZIM	Zimbabwe Stock Exchange	ZI	XZIM	ZW
