"COUNTRY_ID","CASE_ID"
"AD","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AD","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AD","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AD","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AD","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AD","90B115D2-6773-46F7-80AB-312A6584AB38"
"AD","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AE","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AE","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AE","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AE","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AE","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AE","8C5392AE-7745-4C44-A03C-34A786583C4D"
"AE","90B115D2-6773-46F7-80AB-312A6584AB38"
"AE","A4CA8703-F310-4F72-B0D5-C1A83FBB7ADE"
"AE","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AF","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AF","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AF","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AF","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AF","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AF","8C5392AE-7745-4C44-A03C-34A786583C4D"
"AF","90B115D2-6773-46F7-80AB-312A6584AB38"
"AF","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AG","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AG","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AG","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AG","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AG","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AG","90B115D2-6773-46F7-80AB-312A6584AB38"
"AG","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AL","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AL","32FDC3C1-7700-4AB2-9B89-F1718D37E795"
"AL","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AL","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AL","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AL","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AL","90B115D2-6773-46F7-80AB-312A6584AB38"
"AL","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AM","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AM","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AM","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AM","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AM","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AM","90B115D2-6773-46F7-80AB-312A6584AB38"
"AM","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AO","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AO","2CFB067A-5F18-4B05-9DAA-462920DD5FCC"
"AO","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
