"COUNTRY_ID","COP_ID"
"DK","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"FR","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"DE","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"HK","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"IN","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"IT","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"JP","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"MY","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"MX","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"NL","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"SG","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"ZA","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"ES","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"SW","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"BR","B17B9CDB-C2C5-4CB6-AD7F-4318C67CFD44                        "
"ES","0DBEE74F-DB3E-4517-9DA8-1BA4A5C67D50                        "
"AF","14A12526-ED72-4214-8704-FE15A9F9E5E6                        "
"DK","9AB29BFB-2938-42C3-BFDA-2D8C8548EF8A                        "
"ES","D4817DA2-BCD3-41E1-8652-EBDB7F10647C                        "
"FR","7952FB5D-957C-46A2-B629-C1B045B9566C                        "
"FR","4143ED5F-4050-445D-BC4D-14EA1403ABCE                        "
"ZZ","89364380-64AE-4095-BFEF-5A617294AEE2                        "
"BR","2EAA6F79-A368-4A60-B83C-CC87260852D6                        "
"FR","8652D847-AEFA-4E63-94B4-BB2D7944C4B7                        "
"AF","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"AL","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"DZ","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"AO","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"AM","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"AZ","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"BD","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"BY","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"BZ","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"BJ","26519C12-6D62-45EF-A77F-C3BC60B7E2C6                        "
"BR","FEFDB7BA-A007-4C9E-888C-66666ACA036C                        "
"CH","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"TR","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"GB","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"US","237840D5-6F38-4D1A-B44E-95B03311079F                        "
"ZZ","88E28F0E-7C5F-4B6C-99E6-9DA553550293                        "
"ES","507E5194-92FD-4CA2-8EB6-55322B759C74                        "
"ES","C129D15C-A186-45DD-A163-80E4F9179C37                        "
"KR","A97ED8F2-5061-41B8-8C49-13595EA7455E                        "
"FR","4A95DD43-BBD5-475C-95AA-5EFD9C7AF317                        "
"ES","25024530-B8E5-4473-91B9-5E9CB2ED613A                        "
"ES","97F6161E-4E91-40C8-964E-C717A611C5FA                        "
"ES","FB4F528A-ECDE-4AB7-A1EB-CA04E22ED062                        "
"PA","7D3C1792-0A75-4EF6-A2D6-9921E877C8FE                        "
"PA","B05D8A67-7CDC-44FB-B183-78324BE15BF2                        "
"MX","DF9599FD-C0BA-4F07-8ADB-FCB7481A44BB                        "
"US","DF9599FD-C0BA-4F07-8ADB-FCB7481A44BB                        "
"CN","7D56AA14-2EE0-4936-9A08-B34282E210E1                        "
"FR","7D56AA14-2EE0-4936-9A08-B34282E210E1                        "
"SA","7D56AA14-2EE0-4936-9A08-B34282E210E1                        "
"ES","7D56AA14-2EE0-4936-9A08-B34282E210E1                        "
"US","7D56AA14-2EE0-4936-9A08-B34282E210E1                        "
"AR","6B906F92-33CA-4DBE-B508-C099AA942C7C                        "
"CN","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"DE","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"MY","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"PT","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"SG","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"US","D471F8F4-F5DC-4F01-9FAD-8A2D0A734B63                        "
"DZ","63642415-8D60-4A70-98BC-8520CB37745A                        "
"CL","63642415-8D60-4A70-98BC-8520CB37745A                        "
"PE","63642415-8D60-4A70-98BC-8520CB37745A                        "
"PL","63642415-8D60-4A70-98BC-8520CB37745A                        "
"PT","63642415-8D60-4A70-98BC-8520CB37745A                        "
"ES","63642415-8D60-4A70-98BC-8520CB37745A                        "
"ES","DF002143-B6ED-46F2-85FC-B05054AC0C31                        "
"FR","14B582D6-5D79-4E08-87D7-B1238FC8BB02                        "
"PE","14B582D6-5D79-4E08-87D7-B1238FC8BB02                        "
"ES","EAADCCAB-A3A7-494D-8B01-AABDCD121D73                        "
"ES","A67CE042-BA5D-4C02-86FE-607FA893280F                        "
"ES","413F0CDD-C741-42AE-B2A9-40B3F8FC4D20                        "
"ES","1619BC33-02AF-449A-82B9-A829794834AE                        "
"ES","322CBB17-3037-4AAA-A1F0-A6495C2376AC                        "
"DE","0AF7D30A-7918-438A-BB49-B9D639528C8A                        "
"ES","312F1C3E-41F4-46CC-8373-B10DC27B07B3                        "
"BO","BED4BE3B-AE82-4D34-871A-97ABA83B620A                        "
"BR","FA4E9C9E-0CD0-4921-B259-873B918A12F1                        "
"ES","E814F048-915E-4B3C-8B69-E623585CE89D                        "
"ES","BED99BD1-2BCA-4C17-A28E-C38279D1A140                        "
"KR","8E4785A8-556E-4862-AB27-4EEAF3C4A704                        "
"ES","9C33D987-8E0A-4655-A923-2EFCDE862A23                        "
"ES","4739E191-E6BB-4712-A1E6-9B2D6085F8BF                        "
"EG","CC5AC736-E202-44B9-B67E-C6C35A687917                        "
"EG","C125EC60-75CF-4819-B8C4-F71EB57ABF03                        "
"FR","FB33D23B-CF31-4D6B-BEDB-A25E1616AA6D                        "
"DE","96514E49-5FF0-4B8B-94FC-28C5267DCABD                        "
"AF","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AL","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"DZ","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AD","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AO","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AG","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AR","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AM","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AU","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AT","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"AZ","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BS","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BH","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BD","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BB","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BY","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"BE","944CF62B-40D3-4ED0-97EF-19B41E935ED9                        "
"ES","24796E6D-8195-4AD1-B4F5-B704F5D221F2                        "
"GA","BA847837-6F23-4513-B1AE-30646A317D8D                        "
"US","A0585A70-5D27-450C-8DA2-9905CFE343AF                        "
"ES","2A944526-6427-45DB-B0DE-8B8DF630170B                        "
"ES","E07FAF4C-1236-425B-AD30-5B0C60316322                        "
"FR","C50991E2-4368-4548-8CC5-C30FFC58D882                        "
"MK","0422D142-3459-4121-9D72-7F17FDA03200                        "
"ZZ","C36AD70E-482E-45A7-A287-0CE13468298C                        "
"BY","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"EE","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"GE","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"KZ","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"LV","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"LT","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"MD","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"RU","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"UA","72E2656F-64B6-41B9-B2F6-3BC27F0F8C0B                        "
"ES","CA94D061-4AD1-484D-9AD0-89B0DF1C2CDC                        "
"PA","8F542024-EB71-45D9-A898-04A9996B387C                        "
"DK","FF7B1F47-181B-4845-B90D-A6A719F7DEBE                        "
"PT","3B80230D-D9F5-4D12-825F-DCB98E23E6C2                        "
"MX","6D8F4DB0-8B28-4C6B-801C-7D963AE0CB09                        "
"AR","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
