"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
1,89696823,"Statoil Hydro"
1,90126823,"LLC TNK-BP Commerce"
1,90426823,"Finaxo-Environnement"
1,92206823,"Nedbank Ltd."
1,92516823,"Adecco Japan"
1,93356823,"H & M, Hennes & Mauritz AB"
1,93366823,"H & M, Hennes & Mauritz AB"
1,93826823,"TUV Rheinland Holding AG"
1,95846823,"Empresas Publicas de Medellin"
1,95956823,"Establecimiento Las Marias"
1,95986823,"Repsol YPF - Argentina"
1,96816823,"Hinopak Motors Limited"
1,96956823,"China Petroleum and Chemical Corporation - Sinopec"
1,97246823,"Bursa Imobiliara ''Lara'' S.R.L."
1,97256823,"Bursa Imobiliara ''Lara'' S.R.L."
1,98546823,"Nike, Inc."
1,98576823,"EDESUR"
1,100976823,"Sansemen Government"
1,100996823,"MCI Group Asia Pacific Pte Ltd."
1,101006823,"4C Strategies AB"
1,101776823,"Youth Association for Habitat"
1,102766823,"Haier Group Company"
1,103166823,"Baillie Gifford Overseas Limited"
2,442,"AngloGold Ashanti Ghana"
2,443,"AngloGold Ashanti Ghana"
2,444,"AngloGold Ashanti Ghana"
2,445,"AngloGold Ashanti Ghana"
2,446,"AngloGold Ashanti Ghana"
2,447,"AngloGold Ashanti Ghana"
2,448,"AngloGold Ashanti Ghana"
2,449,"AngloGold Ashanti Ghana"
2,930,"Boston Consulting Group"
2,931,"Boston Consulting Group"
2,3379,"Hope Worldwide-Pakistan"
2,4093,"Lazare Kaplan International Inc."
2,4209,"Macropharm JSC"
2,4333,"Mekelle Chamber of Commerce of Ethiopia"
2,4505,"National Youth Council Benin (NYC - Benin)"
2,3136823,"Mekelle Chamber of Commerce of Ethiopia"
2,3156823,"Hope Worldwide-Pakistan"
2,20406823,"Visteon Corporation"
2,41806823,"SGS Mozambique, Lda"
2,45916823,"Danfoss Group"
2,47846823,"ECoSIDA - Associacao dos Empresarios Contra o Sida"
2,57566823,"FUNDAMENTAL - Associacao para o Desenvolvimento Sustentado"
2,70096823,"Laboratorio Sabin de Analises Clinicas"
2,83796823,"Indian Oil Corporation Ltd."
2,96956823,"China Petroleum and Chemical Corporation - Sinopec"
2,100976823,"Sansemen Government"
4,106,"Achilles Group Limited"
